# esperienza 3
# misura aberrazione cromatica
# tutte le misure in millimetri (mm)
lente	schermo	blu_min	blu_max	giallo	rosso_min	rosso_max
330	408	7.8	8.6	9.65	10.34	10.69
330	408	7.85	8.83	9.64	10.06	10.59
330	408	7.91	8.74	9.82	10.07	10.94
330	408	8	8.78	9.47	9.92	10.64
345	420	6.87	7.37	8.56	9.08	9.58
345	420	7.25	7.73	8.69	8.82	9.59
345	420	7.33	7.9	8.85	9.03	9.82
345	420	7.32	7.78	8.73	9.09	9.59
365	435	9.13	9.32	10.44	10.65	10.94
365	435	8.93	9.84	10.61	11.01	11.17
365	435	9.06	9.21	10.33	11.09	11.33
365	435	9.08	9.74	10.51	10.47	11.34
390	457	8.09	8.77	9.61	9.69	10.39
390	457	8.08	8.78	9.66	9.62	10.23
390	457	8.14	8.87	9.36	9.34	10.23
390	457	8.09	8.66	9.22	9.47	10.19
420	483	8.13	8.62	9.06	9.19	9.96
420	483	7.88	8.83	9.06	9.36	9.94
420	483	8.21	8.69	9.57	9.42	9.82
420	483	8.02	8.67	9.3	9.35	9.84
