# esperienza 1
# misura focale lente convergente
# tutte le misure in centimetri (cm)
# metodo di Bessel
schermo	p1	p2	op
55	29.00	48.40	fabiana
55	29.00	48.40	fabiana
55	28.90	48.30	fabiana
55	28.90	48.50	fabiana
55	29.00	48.40	fabiana
55	28.95	48.20	lorenzo
55	29.00	48.30	lorenzo
55	29.00	48.35	lorenzo
55	28.95	48.25	lorenzo
55	28.95	48.30	lorenzo
60	28.60	53.60	fabiana
60	28.60	53.60	fabiana
60	28.70	53.50	fabiana
60	28.60	53.60	fabiana
60	28.65	53.60	fabiana
60	28.70	53.60	lorenzo
60	28.65	53.65	lorenzo
60	28.70	53.60	lorenzo
60	28.70	53.65	lorenzo
60	28.70	53.65	lorenzo
65	28.50	58.75	fabiana
65	28.50	58.75	fabiana
65	28.40	58.70	fabiana
65	28.50	58.65	fabiana
65	28.50	58.80	fabiana
65	28.45	58.75	lorenzo
65	28.50	58.75	lorenzo
65	28.50	58.65	lorenzo
65	28.50	58.70	lorenzo
65	28.50	58.70	lorenzo
70	28.35	63.80	fabiana
70	28.35	63.80	fabiana
70	28.35	63.85	fabiana
70	28.45	63.85	fabiana
70	28.40	63.85	fabiana
70	28.40	63.90	lorenzo
70	28.40	63.95	lorenzo
70	28.40	63.90	lorenzo
70	28.40	64.00	lorenzo
70	28.40	63.90	lorenzo
75	28.25	69.00	fabiana
75	28.30	68.95	fabiana
75	28.30	69.00	fabiana
75	28.25	69.00	fabiana
75	28.30	69.00	fabiana
75	28.30	69.10	lorenzo
75	28.25	69.05	lorenzo
75	28.30	69.05	lorenzo
75	28.30	69.05	lorenzo
75	28.30	69.00	lorenzo
80	28.20	73.95	fabiana
80	28.20	73.95	fabiana
80	28.20	73.90	fabiana
80	28.20	74.00	fabiana
80	28.20	73.95	fabiana
80	28.20	74.00	lorenzo
80	28.20	74.10	lorenzo
80	28.15	74.05	lorenzo
80	28.20	74.05	lorenzo
80	28.20	74.00	lorenzo
85	28.10	79.20	fabiana
85	28.20	79.00	fabiana
85	28.20	79.15	fabiana
85	28.20	79.10	fabiana
85	28.20	79.05	fabiana
85	28.15	79.15	lorenzo
85	28.15	79.15	lorenzo
85	28.20	79.20	lorenzo
85	28.20	79.20	lorenzo
85	28.15	79.20	lorenzo
90	28.15	84.15	fabiana
90	28.15	84.05	fabiana
90	28.15	84.25	fabiana
90	28.10	84.10	fabiana
90	28.10	84.10	fabiana
90	28.10	84.20	lorenzo
90	28.15	84.20	lorenzo
90	28.10	84.15	lorenzo
90	28.10	84.15	lorenzo
90	28.10	84.15	lorenzo
95	28.10	89.15	fabiana
95	28.05	89.05	fabiana
95	28.10	89.20	fabiana
95	28.10	89.25	fabiana
95	28.10	89.05	fabiana
95	28.05	89.25	lorenzo
95	28.05	89.20	lorenzo
95	28.10	89.20	lorenzo
95	28.10	89.20	lorenzo
95	28.10	89.20	lorenzo
100	28.00	94.10	fabiana
100	28.05	94.05	fabiana
100	28.05	94.05	fabiana
100	28.05	94.10	fabiana
100	28.00	94.10	fabiana
100	28.05	94.10	lorenzo
100	28.05	94.15	lorenzo
100	28.05	94.20	lorenzo
100	28.00	94.20	lorenzo
100	28.05	94.15	lorenzo
