# esperienza 1
# misura focale lente convergente
# tutte le misure in millimetri (mm)
# metodo della scala
l	s	op
0	35.00	fabiana
0	34.80	fabiana
0	34.80	fabiana
0	35.00	fabiana
0	34.50	fabiana
0	34.50	lorenzo
0	34.70	lorenzo
0	34.75	lorenzo
0	34.75	lorenzo
0	34.65	lorenzo
10	47.50	fabiana
10	47.00	fabiana
10	47.70	fabiana
10	47.80	fabiana
10	47.70	fabiana
10	47.70	lorenzo
10	47.75	lorenzo
10	47.70	lorenzo
10	47.95	lorenzo
10	47.65	lorenzo
20	60.60	fabiana
20	60.70	fabiana
20	60.70	fabiana
20	60.70	fabiana
20	60.90	fabiana
20	61.10	lorenzo
20	61.00	lorenzo
20	60.85	lorenzo
20	60.95	lorenzo
20	61.00	lorenzo
30	73.90	fabiana
30	73.50	fabiana
30	73.90	fabiana
30	74.00	fabiana
30	73.90	fabiana
30	74.10	lorenzo
30	74.25	lorenzo
30	73.95	lorenzo
30	74.30	lorenzo
30	74.40	lorenzo
40	88.00	fabiana
40	87.50	fabiana
40	87.30	fabiana
40	87.50	fabiana
40	87.30	fabiana
40	87.75	lorenzo
40	87.50	lorenzo
40	87.20	lorenzo
40	87.55	lorenzo
40	87.40	lorenzo
