# tutte le misure in millimetri (mm)
h	sx	dx	op
380	3.64	19.13	lorenzo
380	3.49	19.19	lorenzo
380	3.52	19.22	lorenzo
380	3.45	19.22	lorenzo
380	3.49	19.21	lorenzo
380	3.66	19.12	fabiana
380	3.64	19.13	fabiana
380	3.62	19.14	fabiana
380	3.66	19.10	fabiana
380	3.58	19.13	fabiana
430	0.19	21.23	lorenzo
430	0.24	21.24	lorenzo
430	0.27	21.32	lorenzo
430	0.20	21.28	lorenzo
430	0.24	21.24	lorenzo
430	0.33	21.11	fabiana
430	0.33	21.05	fabiana
430	0.19	21.20	fabiana
430	0.30	21.22	fabiana
430	0.23	21.11	fabiana
480	7.01	32.96	lorenzo
480	7.01	33.07	lorenzo
480	7.09	33.22	lorenzo
480	7.20	32.93	lorenzo
480	7.12	33.00	lorenzo
480	7.09	32.90	fabiana
480	7.16	32.97	fabiana
480	7.12	32.99	fabiana
480	7.02	32.94	fabiana
480	7.12	33.04	fabiana
530	3.79	34.91	lorenzo
530	3.80	34.73	lorenzo
530	3.88	34.85	lorenzo
530	3.76	34.85	lorenzo
530	3.91	34.78	lorenzo
530	3.70	34.82	fabiana
530	3.84	34.97	fabiana
530	3.66	34.91	fabiana
530	3.91	34.98	fabiana
530	3.82	34.93	fabiana
580	0.68	36.74	lorenzo
580	0.73	36.76	lorenzo
580	0.97	36.76	lorenzo
580	0.81	36.84	lorenzo
580	0.89	36.83	lorenzo
580	0.72	36.50	fabiana
580	0.53	36.80	fabiana
580	0.74	36.70	fabiana
580	0.65	36.85	fabiana
580	0.62	36.67	fabiana
630	7.59	49.68	lorenzo
630	7.67	48.54	lorenzo
630	7.75	48.42	lorenzo
630	7.80	48.45	lorenzo
630	7.68	48.61	lorenzo
630	7.75	48.74	fabiana
630	7.60	48.91	fabiana
630	7.32	48.54	fabiana
630	7.21	48.84	fabiana
630	7.74	48.67	fabiana
680	4.42	50.31	lorenzo
680	4.37	50.21	lorenzo
680	4.37	50.14	lorenzo
680	4.44	50.31	lorenzo
680	4.52	50.29	lorenzo
680	4.14	50.49	fabiana
680	4.19	50.34	fabiana
680	4.23	50.15	fabiana
680	4.26	50.39	fabiana
680	4.40	50.31	fabiana
730	1.37	51.91	lorenzo
730	0.92	51.93	lorenzo
730	1.55	51.90	lorenzo
730	0.92	50.93	lorenzo
730	0.79	50.82	lorenzo
730	1.16	52.24	fabiana
730	0.96	52.41	fabiana
730	0.79	52.31	fabiana
730	0.71	52.21	fabiana
730	1.03	52.15	fabiana
780	8.11	64.11	lorenzo
780	8.10	63.70	lorenzo
780	8.13	63.87	lorenzo
780	8.20	63.85	lorenzo
780	8.21	64.20	lorenzo
780	7.92	64.87	fabiana
780	7.67	64.12	fabiana
780	7.50	64.03	fabiana
780	7.52	64.97	fabiana
780	7.20	64.15	fabiana
830	5.04	65.58	lorenzo
830	5.24	65.40	lorenzo
830	5.16	65.74	lorenzo
830	5.04	65.62	lorenzo
830	5.21	65.63	lorenzo
830	4.14	65.70	fabiana
830	4.34	65.98	fabiana
830	4.36	65.99	fabiana
830	4.44	65.90	fabiana
830	4.80	65.76	fabiana
